expression	H3K14ac	H3K18ac	H3K23ac	H3K27ac	H3K27me1	H3K27me2	H3K27me3	H3K36ac	H3K36me1	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K79me1	H3K79me2	H3K79me3	H3K9ac	H3K9me1	H3K9me2	H3K9me3	H3R2me1	H3R2me2	H4K12ac	H4K16ac	H4K20me1	H4K20me3	H4K5ac	H4K8ac	H4K91ac	H4R3me2
5.41878501761977	636	404	426	120	438	450	540	480	388	1264	420	891.665	439	170	90	60	486.5	350	509	748	0	637	437.5	300	240	592	0	120	300	170	395
5.22314382687884	590	410	240	50	338	857	1220	360	418	878	400	525	150	307	90	30	440	410	260	200	115	718.25	190	120	816	120	130	410	180	444	255
2.363136300351	140	50	120	270	240	569	1256	60	225	1044	180	295	100	475	60	30	707	180	288	756	155	431	355	120	540	145	86	60	180	0	289
3.75484976225512	240	1012	60	230	758	430	340	532	260	752	794	1166.25	120	495	797	90	543	60	398	60	25	756	858.915	180	1985	1571	90	370	276	2790	731.165
4.51725472771284	480	290	240	110	285	408	1658	180	362	530	180	180	60	400	60	0	175	170	145	333	397	474	438	240	770	25	270	60	180	60	348
2.90549843728784	540	1078	300	60	290	719	602	766	455	720	870	180	60	365	120	30	701	520	364	175	55	813	180	416	840	180	150	466	240	560	484
8.12628166431558	240	5558	420	5039	860	130	410	4268.335	527	1338	4665.335	3631.5	1151.665	8844.995	744	120	584	5901.5	1558.75	175	0	542	383	1410	3056.835	2518.25	332.665	2715.835	1862.5	8044.335	314
2.65864985080708	180	120	120	230	90	287	570	180	261	520	340	120	60	396	60	60	447	340	170	534	315	200	380	300	406	0	320	510	180	0	295
3.75011800508436	540	446	300	166	350	735	888	660	415	918	516	344	90	300	30	90	286	490	300	145	200	572.165	296	690	358	140	30	720	600	60	170
5.18629862289271	360	240	60	60	240	630	692.5	180	415	860	280	570	265	326.5	90	0	885.75	350	240	316	0	547	270	120	590	258	310	240	350	350	518
3.1400079268355	360	170	360	180	120	416	1628	180	432	1192	60	270	115	410	90	30	946.665	220	231	225	50	512	180	180	60	115	134	286	180	180	438
5.09807213611836	180	0	120	120	115	283	620	300	258	464	60	120	30	298	60	0	332	310	173	615	130	175	290	300	360	60	30	120	180	0	145
5.30803474947886	360	180	120	60	115	170	484	220	286	290	240	95	60	195	0	0	192	110	90	140	55	205	228	180	240	85	0	300	120	110	223
5.12616096901512	406	1646	180	1322	631	145	180	588	292	470	774	2707.915	1864.085	2857.67	262	116	350	523.335	1736.915	85	0	270	417	770	1186	293	235	1651.335	2099	834	120
10.5055975360839	623	1068	1008	3683.245	180	120	210	743	257	1722	1144	811	2019.165	33417.405	688	6732.495	10019.745	1970.165	1557	180	110	661	420	817.25	870	707.5	210	624	641	435	240
4.54902619862005	240	0	300	60	240	554	812	180	612	520	60	220.5	0	421	30	30	385	230	145	808.5	439	355	470	180	300	60	175	120	60	60	526
4.63395976041093	650	706	300	340	175	725	2998	360	719.665	1386	640	699.5	344	2027.25	90	30	925	400	585	482	211	817.5	235	830	630	55	225	909.5	1362	50	165
9.33457985319187	720	1991.335	884	2892	731	255	530	1686	485	992	1960	1610	1342.75	3591.5	1325	1794	2492.165	1178	1224.165	412	55	553	325	2384.665	2116	115	90	3653	3019.335	1960	308
7.46635626646743	420	170	720	230	1222	175	220	300	265	2702	380	2717	1381.5	614	1055.75	6224.335	7688.415	410	2389	115	105	431	100	720	414	4587.075	60	300	480	60	180
2.48330244707595	300	0	174	60	265	351	904	60	225	316	0	120	30	360	89	30	313	380	130	382	140	290	293	180	240	55	115	60	0	60	60
4.60188128347262	295	205	60	55	150	212	1598	120	522	586	90	60	80	270	60	90	327	175	60	324	255	409	487	30	270	174	150	90	90	0	433
2.2982220889189	600	1286	180	668	1259	319	476	582	440	928	1340	869	252	548	270	0	345	460	427	110	50	753	330	600	2204	256	290	1408	1824	2246	504
8.03931705514551	1160	3781.835	712	7541.83	1799.25	175	100	2249.5	394	1920	2330	4759.835	3810.915	14312.995	1526	240	877.665	4472	3498.5	145	55	796	174	1748	4424.5	938.75	120	4754.5	5543.5	2823	210
4.81975320023819	950	100	420	120	315	737.5	1873	540	464	1718	180	216	119	446	30	30	1144.665	340	305	529	385	628	345	180	698	110	150	360	300	60	445
5.01127209129787	480	520	540	470	410	242	622	516	255	400	240	150	150	472	120	90	150	410	170	235	115	150	131	240	480	55	169	456	480	0	410
4.34360020599315	360	50	60	0	173	330	1564	120	315	1062	60	30	60	232	30	0	436	230	30	346	662.665	210	110	240	120	55	85	0	0	0	175
4.19515775445868	480	180	120	348	175	220	610	320	427.165	1025.335	230	90	30	225	60	120	558	230	145	138.665	60	603	90	356	720	120	205	240	404	60	282
5.03771432521615	520	150	420	170	264	804	2244	472	435	1070	170	90	90	649	120	120	1059.33	450	310	386	263	396.25	345	300	684	140	178	60	240	60	495
5.36680044144412	300	0	120	294	1513	439	386	60	504	18662.495	394	1061.25	714	719	2013	305	3631.75	180	1201.665	430	689	550	596	60	940	757.5	4721	360	346	340	642
8.32043106974021	540	834	896	1832	492.665	280	550	600	494	510	700	725	788.25	9223.75	380	1279	2188	864	1065.665	120	115	598.5	330	866	762	233	60	644	410	220	230
3.35043552498394	468	120	60	60	205	532.5	1250	120	485	1410	280	505	205	619.5	30	0	908.5	410	290	155	55	523	720	60	1008	336	268	360	420	290	340
5.25798613699962	300	284	180	35	208	205	2898	116	788	1614	251	919	178	1152.5	90	120	1250	191	345	30	185	663	295	120	652	175	230	165	180	397	437
8.37794031944275	180	240	240	802	1478.83	195	320	710	290	3959.5	1234	1974.415	602	580.5	1322	2671.915	4550.915	0	1216.665	205	130	786.165	357	2738	1564	1541.25	60	942	2146	274	297
5.2765869622833	470	1458	120	340	198	275	2400	650	481	1140	932	1413.665	465	1207.5	300	90	1510.33	678	896	89	80	768	483	660	960	974	205	344	466	1411	286
5.35698973100841	770	110	420	120	180	230	4506.165	360	360	1618	170	270	178	925	90	30	1644.835	170	451	567.5	355	712	270	180	650	248	85	240	180	230	219
5.24712880351807	180	1004	60	792	713.5	195	110	824.5	374.665	904	866	1778.165	565.5	913.75	671	147	290	300	495	235	90	410	319	412	1462	665	90	1090	698	1900.5	190
